core0,core1,core2,core3,core4,core5,core6,core7
5.0,1.0,1.0,0.0,1.0,0.0,1.0,100.0
4.3,2.1,4.3,4.3,9.2,5.2,2.0,100.0
6.1,38.4,3.1,5.0,5.1,41.8,3.1,26.7
21.6,12.9,18.0,14.6,22.2,94.1,26.0,72.4
5.2,6.0,33.7,3.0,1.0,84.0,70.0,2.0
4.9,5.0,4.0,5.9,4.0,4.9,0.0,100.0
1.0,1.0,0.0,0.0,1.0,1.0,1.0,100.0
2.0,2.0,2.0,1.0,1.0,0.0,1.0,100.0
15.2,12.6,27.7,15.2,23.5,11.2,12.0,80.6
9.2,5.2,87.6,4.0,10.9,8.3,7.4,19.1
18.4,6.4,15.8,13.3,84.0,24.0,18.4,15.5
11.9,4.2,7.1,5.2,2.1,100.0,5.2,5.1
16.8,17.0,34.0,32.3,12.2,52.0,17.2,11.1
10.6,6.2,8.0,99.0,6.4,5.1,4.3,4.1
7.1,4.2,0.0,100.0,2.1,3.0,5.2,3.1
2.1,6.1,39.0,64.0,4.1,1.0,7.0,4.2
9.1,9.1,13.1,6.2,21.6,11.2,2.0,100.0
4.0,4.0,2.0,1.0,6.0,4.1,0.0,100.0
6.1,5.1,5.1,3.0,3.1,8.2,1.0,100.0
13.0,13.0,15.2,7.1,8.3,6.1,2.0,99.0
5.1,5.1,6.9,6.9,38.8,4.0,6.1,64.7
8.3,5.1,7.0,3.0,72.0,29.3,5.2,6.1
47.4,6.2,8.2,9.1,16.2,58.8,11.3,7.0
4.0,5.9,8.0,3.0,45.0,55.6,5.1,2.0
1.0,2.0,4.0,1.0,100.0,2.0,3.1,0.0
3.2,3.1,3.1,2.0,4.1,0.0,1.0,100.0
2.0,9.7,4.0,2.0,2.0,22.4,1.0,77.2
11.9,14.9,26.5,74.0,15.5,4.0,28.0,26.0
11.8,5.9,19.6,83.8,18.2,3.0,5.1,18.8
41.8,15.7,80.2,12.1,15.0,15.8,35.3,20.0
20.6,13.6,16.2,23.3,32.0,7.9,6.9,91.0
11.1,12.9,12.9,15.2,27.0,14.0,27.0,82.8
46.2,12.1,55.0,10.9,23.1,11.1,48.0,39.0
20.6,16.5,41.8,22.2,35.1,9.2,63.7,47.5
12.1,4.2,74.0,4.0,18.4,9.7,14.3,89.9
13.1,3.0,1.0,99.0,5.9,5.0,0.0,100.0
63.4,3.1,9.9,2.0,11.0,44.0,38.8,1.0
58.0,22.0,22.4,14.1,92.9,10.2,37.1,22.0
31.4,10.1,62.6,12.0,29.0,72.0,51.5,12.2
30.0,21.4,14.9,8.9,41.6,7.1,26.3,41.4
18.6,12.4,5.0,2.0,0.0,100.0,14.1,2.0
24.0,2.0,28.1,2.0,0.0,100.0,2.0,2.0
11.0,7.1,7.1,4.0,55.6,38.6,24.0,20.2
23.5,2.0,17.3,6.0,100.0,0.0,1.0,0.0
2.0,3.1,1.0,4.0,100.0,1.0,13.0,10.0
5.1,2.0,1.0,35.7,23.8,76.8,6.0,1.0
10.4,6.0,99.0,6.0,17.3,8.0,32.7,6.0
9.0,23.7,52.9,48.0,7.1,1.0,5.0,4.0
6.1,13.1,100.0,1.0,20.0,2.0,5.2,17.5
21.5,7.1,63.6,39.4,14.7,3.0,2.1,14.3
6.3,6.1,1.0,100.0,44.2,6.0,12.0,0.0
4.2,3.0,2.0,100.0,7.2,2.0,4.0,15.3
20.8,12.2,22.2,58.6,46.9,3.0,22.8,21.2
11.5,2.0,22.7,8.0,12.2,5.2,100.0,0.0
22.4,42.4,13.1,4.1,21.4,5.1,100.0,0.0
26.5,7.1,27.8,17.0,30.0,22.4,100.0,1.0
10.1,16.3,4.0,3.0,8.1,2.0,99.0,4.0
17.5,15.3,4.0,51.0,6.1,1.0,51.5,8.1
2.0,2.0,2.0,100.0,2.0,1.0,2.0,1.0
19.8,19.6,29.0,22.2,40.8,26.3,16.2,19.2
21.4,4.1,10.0,93.9,15.5,3.1,12.1,4.0
4.0,0.0,6.0,95.0,4.1,6.0,2.0,2.0
8.8,9.1,17.8,5.2,8.9,6.0,19.8,84.2
100.0,2.0,1.0,0.0,0.0,10.2,2.0,0.0
30.0,28.0,24.2,40.0,33.0,4.1,15.8,51.0
6.0,95.0,10.1,2.0,4.0,17.0,8.0,3.0
16.3,10.2,17.2,40.4,18.0,32.4,18.4,59.8
7.9,2.0,6.1,1.0,10.1,4.0,5.1,100.0
2.0,1.0,0.0,1.0,3.0,0.0,1.0,100.0
6.1,3.0,3.0,2.0,2.0,3.0,0.0,100.0
1.0,0.0,0.0,0.0,2.0,0.0,1.0,100.0
9.7,2.0,16.8,3.0,2.0,2.0,1.0,100.0
8.1,7.0,5.9,2.0,7.1,8.0,8.9,100.0
9.2,7.1,5.0,3.1,5.2,3.1,29.3,69.3
47.0,22.2,6.1,11.6,16.7,2.0,3.1,45.5
8.2,3.1,77.8,3.0,14.4,10.1,21.2,32.3
7.1,4.1,64.7,2.0,12.2,2.1,46.5,1.0
12.1,1.0,5.0,3.1,7.4,10.2,100.0,2.0
23.0,16.5,26.3,15.8,47.5,9.2,24.2,72.7
2.0,2.0,2.0,1.0,3.0,0.0,69.0,31.0
50.5,10.0,4.0,0.0,43.0,2.0,4.0,0.0
1.0,0.0,3.0,1.0,100.0,0.0,1.0,1.0
1.0,1.0,1.0,0.0,100.0,1.0,0.0,0.0
4.0,2.0,3.0,4.0,26.7,75.8,4.0,2.0
